"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"15",14.5,2,2,1,14.5,7.5,6.5,14.5,8.5,8,14.5,4,14.5,2,0,14.5,14.5,4,3,7.5,10,14.5,14.5,14.5,14.5,14.5,5.5,7.5,14.5,14.5,4,14.5,6,7.5,14.5,4,14.5,0,14.5,14.5,9,9.5,14.5,5,14.5,14.5,7.5,6.5,14.5,10,10,6.5,6.5,11,3.5,7.5,8,8,8,10.5,7.5,5.5,14.5,14.5,14.5,14.5,14.5,5,11,8,7,5,5.5,1.5,11,6.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,6.5,11.5,14.5,14.5,14.5,14.5,3.5,7.5,6.5,12,6,6.5,0.5,4,11,12,12,14.5,14.5,14.5,7,6.5,14.5,5,6,5.5,3.5,7,7.5,0.5,1,9.5,14.5,14.5,7,9.5,5,6,5.5,6,14.5,14.5,8,3.5,8,2.5,9,8,14.5,14.5,14.5,9.5,9.5,11,14.5,14.5,8,1,2,12,12,14.5,8,11,14.5,14.5,14.5,14.5,14.5,11,8,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,12,11.5,6,4.5,7.5,6.5,14.5,14.5,14.5,14.5,14.5,1,7.5,5,0.5,6.5,1.5,7,9,6.5,2.5,7.5,8,5.5,11,6.5,12,5.5,8,12,7,6.5,1,5.5,9.5,4.5,7.5
"16",0,16.5,16,15,0,7,8.5,0,6,7,0,10.5,0,16,14.5,0,0,13,13,8,4.5,0,0,0,0,0,12,9,0,0,12,0,10.5,8,0,13,0,14.5,0,0,14.5,8,0,15,0,0,19,13.5,0,5.5,5.5,11,10,4,12,11,6.5,6.5,6.5,5,9.5,10.5,0,0,0,0,0,12,4.5,6.5,15,9.5,14.5,16,4,11,0,0,0,0,0,0,0,0,9,3,0,0,0,0,11.5,7,10.5,3,9.5,10.5,14,10.5,4,2.5,2.5,0,0,0,11.5,15,0,11.5,10.5,9,11,7.5,12.5,14,14,7,0,0,8.5,7,13,10,10.5,11.5,0,0,6.5,13.5,6.5,17,5.5,6.5,0,0,0,5,5,4,0,0,10,15,12.5,2.5,2.5,0,10.5,4,0,0,0,0,0,4,6.5,0,0,0,0,0,0,0,0,3,3,10,12.5,11.5,10.5,0,0,0,0,0,15.5,7,12.5,14,8.5,16,11.5,12.5,8,12.5,9,6.5,9,4,11,3,14,6.5,2.5,10,10.5,13.5,9,5,10.5,8
"17",0,16.5,16,15,0,7,8.5,0,6,7,0,10.5,0,16,14.5,0,0,13,13,8,4.5,0,0,0,0,0,12,9,0,0,12,0,10.5,8,0,13,0,14.5,0,0,14.5,8,0,15,0,0,19,13.5,0,5.5,5.5,11,10,4,12,11,6.5,6.5,6.5,5,9.5,10.5,0,0,0,0,0,12,4.5,6.5,15,9.5,14.5,16,4,11,0,0,0,0,0,0,0,0,9,3,0,0,0,0,11.5,7,10.5,3,9.5,10.5,14,10.5,4,2.5,2.5,0,0,0,11.5,15,0,11.5,10.5,9,11,7.5,12.5,14,14,7,0,0,8.5,7,13,10,10.5,11.5,0,0,6.5,13.5,6.5,17,5.5,6.5,0,0,0,5,5,4,0,0,10,15,12.5,2.5,2.5,0,10.5,4,0,0,0,0,0,4,6.5,0,0,0,0,0,0,0,0,3,3,10,12.5,11.5,10.5,0,0,0,0,0,15.5,7,12.5,14,8.5,16,11.5,12.5,8,12.5,9,6.5,9,4,11,3,14,6.5,2.5,10,10.5,13.5,9,5,10.5,8
"18",13,6,6,5,13,6.5,6,13,7.5,7.5,13,3.5,13,6,4,13,13,0,2,5,8.5,13,13,13,13,13,5,6.5,13,13,1.5,13,2.5,5,13,0,13,4,13,13,9,8.5,13,4,13,13,6,6,13,9,9,4.5,6,10,5.5,5.5,6.5,6.5,6.5,9.5,6,3,13,13,13,13,13,2,10,6.5,6,5,5,5,10,4.5,13,13,13,13,13,13,13,13,4,10.5,13,13,13,13,4.5,6.5,4.5,11,5,7,4.5,3.5,10,10.5,11,13,13,13,5,5.5,13,2,4,4,4,5.5,5.5,4.5,3,9.5,13,13,6,8.5,3.5,4,4,4.5,13,13,6.5,4,6.5,6,7.5,6.5,13,13,13,8,8,10,13,13,6.5,5,2.5,11,11,13,6,10,13,13,13,13,13,10,7.5,13,13,13,13,13,13,13,13,11,10.5,4,3,5.5,4.5,13,13,13,13,13,5,6.5,3,4.5,6.5,5,6,8,6,4,7.5,6.5,5,10,4.5,11,4.5,6.5,10.5,4,5.5,3.5,4.5,8,5.5,5
"19",13,5,5,4,13,6,5.5,13,7,7,13,3,13,5,3,13,13,2,0,6,8.5,13,13,13,13,13,4,6,13,13,1,13,3,6,13,2,13,3,13,13,8,8,13,3,13,13,6.5,5.5,13,8.5,8.5,4.5,5.5,9.5,3.5,5,6.5,6.5,6.5,9,6,2.5,13,13,13,13,13,2,9.5,6.5,5.5,4,4.5,4.5,9.5,4.5,13,13,13,13,13,13,13,13,5,10,13,13,13,13,3.5,6,4.5,10.5,4,6,3.5,3,9.5,10.5,10.5,13,13,13,5,5,13,3,4,4,4,5.5,5.5,3.5,3,9,13,13,5,8,3,4,4,4,13,13,6.5,3,6.5,5.5,7.5,6.5,13,13,13,8,8,9.5,13,13,6,4,2.5,10.5,10.5,13,6,9.5,13,13,13,13,13,9.5,7,13,13,13,13,13,13,13,13,10.5,10,4,2.5,5.5,4.5,13,13,13,13,13,4,6,2.5,3.5,6,4.5,5,7.5,5.5,4,7,6.5,4.5,9.5,4.5,10.5,4,6.5,10.5,5,5,3.5,4,8,3.5,6
"20",8,9.5,9.5,8.5,8,1.5,3,8,2.5,3,8,5,8,9.5,7.5,8,8,5,6,0,4,8,8,8,8,8,6,3,8,8,5,8,3,1.5,8,5,8,7.5,8,8,7,5,8,9,8,8,11,7,8,4,4,3,3,5,7,6,2,2,2,4.5,5,4,8,8,8,8,8,5,5,2,7,5.5,6.5,8.5,5,3,8,8,8,8,8,8,8,8,2.5,5.5,8,8,8,8,5,3,4,6,6,4,7.5,5,5,5.5,6,8,8,8,5.5,7.5,8,3.5,4.5,3,6.5,3.5,4.5,7.5,6.5,5.5,8,8,6.5,4,5,3.5,3,6,8,8,2,6.5,2,9.5,3.5,2,8,8,8,4,4,5,8,8,7,8.5,5.5,6,6,8,4,5,8,8,8,8,8,5,3,8,8,8,8,8,8,8,8,6,5.5,3.5,5,5,4,8,8,8,8,8,8.5,1.5,6,7.5,2.5,8.5,4,6,1.5,6.5,4,2,3.5,5,3,6,6.5,2,5.5,2,6,6.5,2,4,6,1.5
"21",4.5,12,11.5,10.5,4.5,3,4,4.5,2,3,4.5,6,4.5,11.5,10,4.5,4.5,8.5,8.5,4,0,4.5,4.5,4.5,4.5,4.5,7.5,5,4.5,4.5,7.5,4.5,6,3.5,4.5,8.5,4.5,10,4.5,4.5,10.5,6,4.5,10.5,4.5,4.5,14.5,9,4.5,3.5,3.5,6.5,6,2,7.5,7,2,2,2,3,6.5,6,4.5,4.5,4.5,4.5,4.5,7.5,3,2,10.5,5.5,10,11.5,2,6.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,2,4.5,4.5,4.5,4.5,7,2.5,6,3,5.5,6.5,9.5,6,2,2,2.5,4.5,4.5,4.5,7,10.5,4.5,7,6,4.5,6.5,3,8,9.5,9.5,5,4.5,4.5,5,5,8.5,5.5,6,7.5,4.5,4.5,2,9,2,12.5,1,2,4.5,4.5,4.5,1,1,2,4.5,4.5,6,10.5,8,2.5,2.5,4.5,6.5,2,4.5,4.5,4.5,4.5,4.5,2,3,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,3,2,5.5,8,7,6,4.5,4.5,4.5,4.5,4.5,11,3,8,9.5,4.5,11.5,7.5,8.5,4,8,5,2,4.5,2,6.5,3,9.5,2,2,5.5,6.5,9,4.5,1,6.5,3.5
"22",0,16.5,16,15,0,7,8.5,0,6,7,0,10.5,0,16,14.5,0,0,13,13,8,4.5,0,0,0,0,0,12,9,0,0,12,0,10.5,8,0,13,0,14.5,0,0,14.5,8,0,15,0,0,19,13.5,0,5.5,5.5,11,10,4,12,11,6.5,6.5,6.5,5,9.5,10.5,0,0,0,0,0,12,4.5,6.5,15,9.5,14.5,16,4,11,0,0,0,0,0,0,0,0,9,3,0,0,0,0,11.5,7,10.5,3,9.5,10.5,14,10.5,4,2.5,2.5,0,0,0,11.5,15,0,11.5,10.5,9,11,7.5,12.5,14,14,7,0,0,8.5,7,13,10,10.5,11.5,0,0,6.5,13.5,6.5,17,5.5,6.5,0,0,0,5,5,4,0,0,10,15,12.5,2.5,2.5,0,10.5,4,0,0,0,0,0,4,6.5,0,0,0,0,0,0,0,0,3,3,10,12.5,11.5,10.5,0,0,0,0,0,15.5,7,12.5,14,8.5,16,11.5,12.5,8,12.5,9,6.5,9,4,11,3,14,6.5,2.5,10,10.5,13.5,9,5,10.5,8
"23",0,16.5,16,15,0,7,8.5,0,6,7,0,10.5,0,16,14.5,0,0,13,13,8,4.5,0,0,0,0,0,12,9,0,0,12,0,10.5,8,0,13,0,14.5,0,0,14.5,8,0,15,0,0,19,13.5,0,5.5,5.5,11,10,4,12,11,6.5,6.5,6.5,5,9.5,10.5,0,0,0,0,0,12,4.5,6.5,15,9.5,14.5,16,4,11,0,0,0,0,0,0,0,0,9,3,0,0,0,0,11.5,7,10.5,3,9.5,10.5,14,10.5,4,2.5,2.5,0,0,0,11.5,15,0,11.5,10.5,9,11,7.5,12.5,14,14,7,0,0,8.5,7,13,10,10.5,11.5,0,0,6.5,13.5,6.5,17,5.5,6.5,0,0,0,5,5,4,0,0,10,15,12.5,2.5,2.5,0,10.5,4,0,0,0,0,0,4,6.5,0,0,0,0,0,0,0,0,3,3,10,12.5,11.5,10.5,0,0,0,0,0,15.5,7,12.5,14,8.5,16,11.5,12.5,8,12.5,9,6.5,9,4,11,3,14,6.5,2.5,10,10.5,13.5,9,5,10.5,8
"24",0,16.5,16,15,0,7,8.5,0,6,7,0,10.5,0,16,14.5,0,0,13,13,8,4.5,0,0,0,0,0,12,9,0,0,12,0,10.5,8,0,13,0,14.5,0,0,14.5,8,0,15,0,0,19,13.5,0,5.5,5.5,11,10,4,12,11,6.5,6.5,6.5,5,9.5,10.5,0,0,0,0,0,12,4.5,6.5,15,9.5,14.5,16,4,11,0,0,0,0,0,0,0,0,9,3,0,0,0,0,11.5,7,10.5,3,9.5,10.5,14,10.5,4,2.5,2.5,0,0,0,11.5,15,0,11.5,10.5,9,11,7.5,12.5,14,14,7,0,0,8.5,7,13,10,10.5,11.5,0,0,6.5,13.5,6.5,17,5.5,6.5,0,0,0,5,5,4,0,0,10,15,12.5,2.5,2.5,0,10.5,4,0,0,0,0,0,4,6.5,0,0,0,0,0,0,0,0,3,3,10,12.5,11.5,10.5,0,0,0,0,0,15.5,7,12.5,14,8.5,16,11.5,12.5,8,12.5,9,6.5,9,4,11,3,14,6.5,2.5,10,10.5,13.5,9,5,10.5,8
"25",0,16.5,16,15,0,7,8.5,0,6,7,0,10.5,0,16,14.5,0,0,13,13,8,4.5,0,0,0,0,0,12,9,0,0,12,0,10.5,8,0,13,0,14.5,0,0,14.5,8,0,15,0,0,19,13.5,0,5.5,5.5,11,10,4,12,11,6.5,6.5,6.5,5,9.5,10.5,0,0,0,0,0,12,4.5,6.5,15,9.5,14.5,16,4,11,0,0,0,0,0,0,0,0,9,3,0,0,0,0,11.5,7,10.5,3,9.5,10.5,14,10.5,4,2.5,2.5,0,0,0,11.5,15,0,11.5,10.5,9,11,7.5,12.5,14,14,7,0,0,8.5,7,13,10,10.5,11.5,0,0,6.5,13.5,6.5,17,5.5,6.5,0,0,0,5,5,4,0,0,10,15,12.5,2.5,2.5,0,10.5,4,0,0,0,0,0,4,6.5,0,0,0,0,0,0,0,0,3,3,10,12.5,11.5,10.5,0,0,0,0,0,15.5,7,12.5,14,8.5,16,11.5,12.5,8,12.5,9,6.5,9,4,11,3,14,6.5,2.5,10,10.5,13.5,9,5,10.5,8
"26",0,16.5,16,15,0,7,8.5,0,6,7,0,10.5,0,16,14.5,0,0,13,13,8,4.5,0,0,0,0,0,12,9,0,0,12,0,10.5,8,0,13,0,14.5,0,0,14.5,8,0,15,0,0,19,13.5,0,5.5,5.5,11,10,4,12,11,6.5,6.5,6.5,5,9.5,10.5,0,0,0,0,0,12,4.5,6.5,15,9.5,14.5,16,4,11,0,0,0,0,0,0,0,0,9,3,0,0,0,0,11.5,7,10.5,3,9.5,10.5,14,10.5,4,2.5,2.5,0,0,0,11.5,15,0,11.5,10.5,9,11,7.5,12.5,14,14,7,0,0,8.5,7,13,10,10.5,11.5,0,0,6.5,13.5,6.5,17,5.5,6.5,0,0,0,5,5,4,0,0,10,15,12.5,2.5,2.5,0,10.5,4,0,0,0,0,0,4,6.5,0,0,0,0,0,0,0,0,3,3,10,12.5,11.5,10.5,0,0,0,0,0,15.5,7,12.5,14,8.5,16,11.5,12.5,8,12.5,9,6.5,9,4,11,3,14,6.5,2.5,10,10.5,13.5,9,5,10.5,8
"27",12,4.5,5,5.5,12,5,3.5,12,6,5,12,5,12,5,5.5,12,12,5,4,6,7.5,12,12,12,12,12,0,3,12,12,5,12,6,5,12,5,12,5.5,12,12,5,5,12,5.5,12,12,7,1.5,12,6.5,6.5,4,3.5,8,3,6,5.5,5.5,5.5,7,5,5,12,12,12,12,12,4,7.5,5.5,4.5,5.5,3,4.5,8,4,12,12,12,12,12,12,12,12,4,9,12,12,12,12,2,5,3,9,4,4,6,5,8,9.5,9.5,12,12,12,4.5,3,12,5,4,3,6,6.5,4,6,5.5,6,12,12,5,5.5,3.5,3,4,5,12,12,5.5,2,5.5,5,6.5,5.5,12,12,12,7,7,8,12,12,8.5,5.5,4.5,9.5,9.5,12,3,8,12,12,12,12,12,8,7,12,12,12,12,12,12,12,12,9,9,3,2,4,3,12,12,12,12,12,5,5,5.5,6,5,4.5,3,3.5,5.5,4.5,4,5.5,4.5,8,4,9,2,5.5,9.5,5,6,6,5,7,4.5,5
"28",9,7.5,7.5,7.5,9,2,1.5,9,3,2,9,5.5,9,7.5,7.5,9,9,6.5,6,3,5,9,9,9,9,9,3,0,9,9,6,9,5,3,9,6.5,9,7.5,9,9,5.5,2,9,8,9,9,10,4.5,9,3.5,3.5,3.5,1,5,4.5,4.5,3.5,3.5,3.5,4,2.5,4,9,9,9,9,9,4.5,4.5,3.5,6,6,5.5,7.5,5,3.5,9,9,9,9,9,9,9,9,3.5,6,9,9,9,9,4,3,3.5,6,4,2,7.5,5.5,5,6.5,6.5,9,9,9,4,6,9,5,3,3,7,5.5,4,7.5,7.5,3,9,9,5,2.5,5,3,2.5,3.5,9,9,3.5,4.5,3.5,8,5,3.5,9,9,9,5.5,5.5,5,9,9,7.5,7.5,5.5,6.5,6.5,9,1.5,5,9,9,9,9,9,5,4,9,9,9,9,9,9,9,9,6,6,3,4.5,4.5,3.5,9,9,9,9,9,7.5,2,6,7.5,2,7.5,2.5,3.5,2.5,6,1.5,3.5,4,5,3.5,6,5,3.5,6.5,4,4.5,7.5,3,5.5,5.5,3
"29",0,16.5,16,15,0,7,8.5,0,6,7,0,10.5,0,16,14.5,0,0,13,13,8,4.5,0,0,0,0,0,12,9,0,0,12,0,10.5,8,0,13,0,14.5,0,0,14.5,8,0,15,0,0,19,13.5,0,5.5,5.5,11,10,4,12,11,6.5,6.5,6.5,5,9.5,10.5,0,0,0,0,0,12,4.5,6.5,15,9.5,14.5,16,4,11,0,0,0,0,0,0,0,0,9,3,0,0,0,0,11.5,7,10.5,3,9.5,10.5,14,10.5,4,2.5,2.5,0,0,0,11.5,15,0,11.5,10.5,9,11,7.5,12.5,14,14,7,0,0,8.5,7,13,10,10.5,11.5,0,0,6.5,13.5,6.5,17,5.5,6.5,0,0,0,5,5,4,0,0,10,15,12.5,2.5,2.5,0,10.5,4,0,0,0,0,0,4,6.5,0,0,0,0,0,0,0,0,3,3,10,12.5,11.5,10.5,0,0,0,0,0,15.5,7,12.5,14,8.5,16,11.5,12.5,8,12.5,9,6.5,9,4,11,3,14,6.5,2.5,10,10.5,13.5,9,5,10.5,8
"30",0,16.5,16,15,0,7,8.5,0,6,7,0,10.5,0,16,14.5,0,0,13,13,8,4.5,0,0,0,0,0,12,9,0,0,12,0,10.5,8,0,13,0,14.5,0,0,14.5,8,0,15,0,0,19,13.5,0,5.5,5.5,11,10,4,12,11,6.5,6.5,6.5,5,9.5,10.5,0,0,0,0,0,12,4.5,6.5,15,9.5,14.5,16,4,11,0,0,0,0,0,0,0,0,9,3,0,0,0,0,11.5,7,10.5,3,9.5,10.5,14,10.5,4,2.5,2.5,0,0,0,11.5,15,0,11.5,10.5,9,11,7.5,12.5,14,14,7,0,0,8.5,7,13,10,10.5,11.5,0,0,6.5,13.5,6.5,17,5.5,6.5,0,0,0,5,5,4,0,0,10,15,12.5,2.5,2.5,0,10.5,4,0,0,0,0,0,4,6.5,0,0,0,0,0,0,0,0,3,3,10,12.5,11.5,10.5,0,0,0,0,0,15.5,7,12.5,14,8.5,16,11.5,12.5,8,12.5,9,6.5,9,4,11,3,14,6.5,2.5,10,10.5,13.5,9,5,10.5,8
"31",12,6,6,5,12,6,5.5,12,7,7,12,3,12,6,4,12,12,1.5,1,5,7.5,12,12,12,12,12,5,6,12,12,0,12,2,5,12,1.5,12,4,12,12,9,8,12,4,12,12,7.5,6.5,12,8.5,8.5,5,5.5,9,4,5,5.5,5.5,5.5,9,6,2,12,12,12,12,12,2.5,9.5,5.5,6.5,3.5,5.5,5.5,9,5,12,12,12,12,12,12,12,12,4,9.5,12,12,12,12,4,6,5,10,3.5,6.5,4,3,9,9.5,10,12,12,12,5.5,6,12,2.5,4.5,3,4.5,4.5,6,4,3.5,9,12,12,4.5,8,4,4.5,4,4,12,12,5.5,4,5.5,6.5,6.5,5.5,12,12,12,7,7,9,12,12,5.5,5,3,10,10,12,6.5,9,12,12,12,12,12,9,7,12,12,12,12,12,12,12,12,10,9.5,4.5,3.5,6,5,12,12,12,12,12,5,6,2.5,4,6,5.5,6,8.5,5.5,4.5,7,5.5,4.5,9,5,10,5,5.5,9.5,4.5,5,3,4,7,4,5
"32",0,16.5,16,15,0,7,8.5,0,6,7,0,10.5,0,16,14.5,0,0,13,13,8,4.5,0,0,0,0,0,12,9,0,0,12,0,10.5,8,0,13,0,14.5,0,0,14.5,8,0,15,0,0,19,13.5,0,5.5,5.5,11,10,4,12,11,6.5,6.5,6.5,5,9.5,10.5,0,0,0,0,0,12,4.5,6.5,15,9.5,14.5,16,4,11,0,0,0,0,0,0,0,0,9,3,0,0,0,0,11.5,7,10.5,3,9.5,10.5,14,10.5,4,2.5,2.5,0,0,0,11.5,15,0,11.5,10.5,9,11,7.5,12.5,14,14,7,0,0,8.5,7,13,10,10.5,11.5,0,0,6.5,13.5,6.5,17,5.5,6.5,0,0,0,5,5,4,0,0,10,15,12.5,2.5,2.5,0,10.5,4,0,0,0,0,0,4,6.5,0,0,0,0,0,0,0,0,3,3,10,12.5,11.5,10.5,0,0,0,0,0,15.5,7,12.5,14,8.5,16,11.5,12.5,8,12.5,9,6.5,9,4,11,3,14,6.5,2.5,10,10.5,13.5,9,5,10.5,8
"33",10.5,8,8,7,10.5,4.5,4.5,10.5,5.5,5.5,10.5,3.5,10.5,8,6,10.5,10.5,2.5,3,3,6,10.5,10.5,10.5,10.5,10.5,6,5,10.5,10.5,2,10.5,0,3,10.5,2.5,10.5,6,10.5,10.5,9,7,10.5,6,10.5,10.5,8.5,7,10.5,7,7,4,5,7.5,6,4.5,4,4,4,7.5,5,2,10.5,10.5,10.5,10.5,10.5,3,8,4,6,5,7,7,7.5,4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,2.5,8,10.5,10.5,10.5,10.5,6,4.5,4,8.5,5,6,6,3.5,7.5,8,8.5,10.5,10.5,10.5,4.5,6.5,10.5,2.5,3.5,3,5,3,5.5,6,5,8,10.5,10.5,6,6.5,5.5,3.5,3,4,10.5,10.5,4,5,4,8,5,4,10.5,10.5,10.5,5.5,5.5,7.5,10.5,10.5,5.5,7,4,8.5,8.5,10.5,6,7.5,10.5,10.5,10.5,10.5,10.5,7.5,5.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,8.5,8,3.5,4,5,4,10.5,10.5,10.5,10.5,10.5,7,4.5,3,6,5,7,6,8,4,5,6.5,4,5,7.5,4,8.5,5.5,4,8,3,4.5,5,2.5,5.5,5.5,3
"34",8,9.5,9.5,8.5,8,2,2.5,8,3,3.5,8,5.5,8,9.5,7.5,8,8,5,6,1.5,3.5,8,8,8,8,8,5,3,8,8,5,8,3,0,8,5,8,7.5,8,8,8,5,8,9,8,8,11,6,8,4.5,4.5,3,4,5,6.5,6.5,1.5,1.5,1.5,5,5,4,8,8,8,8,8,5,5.5,1.5,7,6,6.5,8.5,5,3,8,8,8,8,8,8,8,8,1,5.5,8,8,8,8,5,2.5,2.5,6,5,5,7.5,5.5,5,5.5,6,8,8,8,4,7,8,3.5,3,2,7,4,4.5,7.5,6.5,6,8,8,6,4.5,5,2,3,6,8,8,1.5,6.5,1.5,9.5,3,1.5,8,8,8,3.5,3.5,5,8,8,7.5,8.5,5.5,6,6,8,4,5,8,8,8,8,8,5,4.5,8,8,8,8,8,8,8,8,6,5.5,2,5,3.5,2.5,8,8,8,8,8,8.5,2,6,7.5,4,8.5,5,6,3,7,4.5,1.5,4,5,3,6,6,1.5,5.5,2,6.5,6.5,2.5,3.5,6.5,0
"35",0,16.5,16,15,0,7,8.5,0,6,7,0,10.5,0,16,14.5,0,0,13,13,8,4.5,0,0,0,0,0,12,9,0,0,12,0,10.5,8,0,13,0,14.5,0,0,14.5,8,0,15,0,0,19,13.5,0,5.5,5.5,11,10,4,12,11,6.5,6.5,6.5,5,9.5,10.5,0,0,0,0,0,12,4.5,6.5,15,9.5,14.5,16,4,11,0,0,0,0,0,0,0,0,9,3,0,0,0,0,11.5,7,10.5,3,9.5,10.5,14,10.5,4,2.5,2.5,0,0,0,11.5,15,0,11.5,10.5,9,11,7.5,12.5,14,14,7,0,0,8.5,7,13,10,10.5,11.5,0,0,6.5,13.5,6.5,17,5.5,6.5,0,0,0,5,5,4,0,0,10,15,12.5,2.5,2.5,0,10.5,4,0,0,0,0,0,4,6.5,0,0,0,0,0,0,0,0,3,3,10,12.5,11.5,10.5,0,0,0,0,0,15.5,7,12.5,14,8.5,16,11.5,12.5,8,12.5,9,6.5,9,4,11,3,14,6.5,2.5,10,10.5,13.5,9,5,10.5,8
"36",13,6,6,5,13,6.5,6,13,7.5,7.5,13,3.5,13,6,4,13,13,0,2,5,8.5,13,13,13,13,13,5,6.5,13,13,1.5,13,2.5,5,13,0,13,4,13,13,9,8.5,13,4,13,13,6,6,13,9,9,4.5,6,10,5.5,5.5,6.5,6.5,6.5,9.5,6,3,13,13,13,13,13,2,10,6.5,6,5,5,5,10,4.5,13,13,13,13,13,13,13,13,4,10.5,13,13,13,13,4.5,6.5,4.5,11,5,7,4.5,3.5,10,10.5,11,13,13,13,5,5.5,13,2,4,4,4,5.5,5.5,4.5,3,9.5,13,13,6,8.5,3.5,4,4,4.5,13,13,6.5,4,6.5,6,7.5,6.5,13,13,13,8,8,10,13,13,6.5,5,2.5,11,11,13,6,10,13,13,13,13,13,10,7.5,13,13,13,13,13,13,13,13,11,10.5,4,3,5.5,4.5,13,13,13,13,13,5,6.5,3,4.5,6.5,5,6,8,6,4,7.5,6.5,5,10,4.5,11,4.5,6.5,10.5,4,5.5,3.5,4.5,8,5.5,5
"37",0,16.5,16,15,0,7,8.5,0,6,7,0,10.5,0,16,14.5,0,0,13,13,8,4.5,0,0,0,0,0,12,9,0,0,12,0,10.5,8,0,13,0,14.5,0,0,14.5,8,0,15,0,0,19,13.5,0,5.5,5.5,11,10,4,12,11,6.5,6.5,6.5,5,9.5,10.5,0,0,0,0,0,12,4.5,6.5,15,9.5,14.5,16,4,11,0,0,0,0,0,0,0,0,9,3,0,0,0,0,11.5,7,10.5,3,9.5,10.5,14,10.5,4,2.5,2.5,0,0,0,11.5,15,0,11.5,10.5,9,11,7.5,12.5,14,14,7,0,0,8.5,7,13,10,10.5,11.5,0,0,6.5,13.5,6.5,17,5.5,6.5,0,0,0,5,5,4,0,0,10,15,12.5,2.5,2.5,0,10.5,4,0,0,0,0,0,4,6.5,0,0,0,0,0,0,0,0,3,3,10,12.5,11.5,10.5,0,0,0,0,0,15.5,7,12.5,14,8.5,16,11.5,12.5,8,12.5,9,6.5,9,4,11,3,14,6.5,2.5,10,10.5,13.5,9,5,10.5,8
"38",14.5,2,2,1,14.5,7.5,6.5,14.5,8.5,8,14.5,4,14.5,2,0,14.5,14.5,4,3,7.5,10,14.5,14.5,14.5,14.5,14.5,5.5,7.5,14.5,14.5,4,14.5,6,7.5,14.5,4,14.5,0,14.5,14.5,9,9.5,14.5,5,14.5,14.5,7.5,6.5,14.5,10,10,6.5,6.5,11,3.5,7.5,8,8,8,10.5,7.5,5.5,14.5,14.5,14.5,14.5,14.5,5,11,8,7,5,5.5,1.5,11,6.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,6.5,11.5,14.5,14.5,14.5,14.5,3.5,7.5,6.5,12,6,6.5,0.5,4,11,12,12,14.5,14.5,14.5,7,6.5,14.5,5,6,5.5,3.5,7,7.5,0.5,1,9.5,14.5,14.5,7,9.5,5,6,5.5,6,14.5,14.5,8,3.5,8,2.5,9,8,14.5,14.5,14.5,9.5,9.5,11,14.5,14.5,8,1,2,12,12,14.5,8,11,14.5,14.5,14.5,14.5,14.5,11,8,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,12,11.5,6,4.5,7.5,6.5,14.5,14.5,14.5,14.5,14.5,1,7.5,5,0.5,6.5,1.5,7,9,6.5,2.5,7.5,8,5.5,11,6.5,12,5.5,8,12,7,6.5,1,5.5,9.5,4.5,7.5
